text,label
"The bus was on time today, great service!",1
"Loved how clean and fast the new light rail is.",1
"Finally a smooth commute, no delays at all.",1
"Driver was friendly and the ride was comfortable.",1
"Bus arrived early and the AC actually worked.",1
"Great job by the transit authority this week.",1
"The new app makes tracking the bus so easy.",1
"Train was on schedule and not crowded at all.",1
"Really impressed with how punctual the metro is now.",1
"Smooth ride home, no complaints today.",1
"Nice to see more frequent buses on this route.",1
"The station was clean and well lit at night.",1
"Quick transfer between the bus and the train, well planned.",1
"Staff were helpful when I asked for directions.",1
"Fare was reasonable and the trip was fast.",1
"Bus was 40 minutes late again, unacceptable.",0
"Train broke down and we were stuck for an hour.",0
"Overcrowded bus, could barely breathe.",0
"Driver was rude and slammed the doors on people.",0
"Cancelled route with zero notice, ruined my morning.",0
"The app says the bus is coming but it never shows up.",0
"Dirty seats and broken AC, worst ride ever.",0
"Missed my connection because the schedule is unreliable.",0
"Fare went up again and service keeps getting worse.",0
"No wheelchair access at this station, so frustrating.",0
"Waited 25 minutes in the rain for a bus that never came.",0
"Train was so packed I had to skip it and wait for the next one.",0
"Terrible communication about the delay, no announcements at all.",0
"The new schedule made my commute way longer.",0
"Bus skipped my stop even though I was clearly waiting.",0
"Really satisfied with the punctuality lately.",1
"Comfortable seats and a quiet ride, no complaints.",1
"They added more buses during rush hour, huge improvement.",1
"Easy to pay with the new contactless card.",1
"The conductor announced every stop clearly, very helpful.",1
"Another day, another 20 minute delay on this line.",0
"Broken ticket machine again, third time this month.",0
"Bus was freezing cold, AC clearly broken in winter mode.",0
"So frustrating when three buses come at once and then nothing for an hour.",0
"Great improvement in cleanliness since last year.",1
